file,section_depth,heading,keywords,has_keyword,line_start,body_snippet
docs/components/core/os_scheduler.md,2,1. コンセプト,CooperativeMultitasking|UseCpp23Library|UseCpp20Coroutine|COOS_Deterministic|CSPCommunication,YES,3,<!-- traceability: {CooperativeMultitasking} {UseCpp23Library} {UseCpp20Coroutine} {COOS_Determinist
docs/components/core/os_scheduler.md,2,2. アーキテクチャ分類,3TierSeparation,YES,7,<!-- traceability: {3TierSeparation} --> 本コンポーネントは **Tier 3 (実装ドメイン)** に属する。コルーチンハンドルの管理とタスク実行順序の制御に
docs/components/core/os_scheduler.md,3,3.1 データ構造,COOS_Transparent,YES,13,<!-- traceability: {COOS_Transparent} --> - **`Scheduler`**: タスクのREADYキュー管理、実行順序制御、およびコルーチン実行をカプセル化し
docs/components/core/os_scheduler.md,3,3.2 内部ブロック図,COOS_Transparent,YES,19,<!-- traceability: {COOS_Transparent} --> ```mermaid graph TD     subgraph Scheduler_Layer         E
docs/components/core/os_scheduler.md,4,`Scheduler` クラス,,NO,40,
docs/components/core/os_scheduler.md,3,3.3 主要なデータ定義,,NO,37,
docs/components/core/os_scheduler.md,2,3. 静的モデル,COOS_Transparent,YES,11, ### 3.1 データ構造 <!-- traceability: {COOS_Transparent} --> - **`Scheduler`**: タスクのREADYキュー管理、実行順序制御、およ
docs/components/core/os_scheduler.md,3,4.1 アルゴリズム,IdleDetection|PeriodicTask|InterruptWakeup,YES,52,<!-- traceability: {IdleDetection} {PeriodicTask} {InterruptWakeup} --> - **スケジューリング**: ラウンドロビン方式。  
docs/components/core/os_scheduler.md,3,4.2 状態遷移図,,NO,59,
docs/components/core/os_scheduler.md,2,4. 動的モデル,IdleDetection|PeriodicTask|InterruptWakeup,YES,50, ### 4.1 アルゴリズム <!-- traceability: {IdleDetection} {PeriodicTask} {InterruptWakeup} --> - **スケジューリング
docs/components/core/os_scheduler.md,4,初期化 (`init-scheduler`),ConceptHarnessDI,YES,82, <!-- traceability: {ConceptHarnessDI} -->  TODO(Phase 1): ATC抽出 - 初期化におけるメモリサイズの限界や配置アラインメントなどの暗黙の事
docs/components/core/os_scheduler.md,4,タスク生成 (`spawn`),COOS_Scheduling_Refine|LowOverheadSwitch|Challenge_CoosBlockedList,YES,98, <!-- traceability: {COOS_Scheduling_Refine} {LowOverheadSwitch} {Challenge_CoosBlockedList} -->  TO
docs/components/core/os_scheduler.md,4,`spawn_task`,,NO,114,| 項目 | 内容 | | :--- | :--- | | 機能概要 | 既存のコルーチンオブジェクトからネイティブタスクを生成し、READY キューに追加する。 | | シグネチャ | `spawn
docs/components/core/os_scheduler.md,4,`yield`,,NO,124,| 項目 | 内容 | | :--- | :--- | | 機能概要 | 現在のタスクの実行を中断し、スケジュールの再評価を行う。 | | シグネチャ | `yield() -> void` | | 
docs/components/core/os_scheduler.md,4,`run`,,NO,132,| 項目 | 内容 | | :--- | :--- | | 機能概要 | メインスケジューリングループを開始する。 | | シグネチャ | `run() -> void` | | 事前条件 | `in
docs/components/core/os_scheduler.md,4,`set_idle_handler`,,NO,140,| 項目 | 内容 | | :--- | :--- | | 機能概要 | READYキューが空になった際に呼び出されるアイドル時処理を登録する。 | | シグネチャ | `set_idle_handl
docs/components/core/os_scheduler.md,4,`notify-interrupt` (内部 API),,NO,147,| 項目 | 内容 | | :--- | :--- | | 機能概要 | ハードウェア割り込みハンドラ（ISR）から呼び出され、Interrupt イベントをイベントキューに投入する。 | | シグネ
docs/components/core/os_scheduler.md,4,`terminate`,,NO,157,
docs/components/core/os_scheduler.md,3,5.1 公開API,,NO,79,
docs/components/core/os_scheduler.md,2,5. インターフェイス設計,ConceptHarnessDI|COOS_Scheduling_Refine|LowOverheadSwitch|Challenge_CoosBlockedList,YES,77, ### 5.1 公開API 外部から利用可能なオブジェクト指向APIを定義する。依存関係は `initialize` メソッドで注入する。  #### 初期化 (`init-scheduler`) 
docs/components/core/os_scheduler.md,3,ADR-SCHED-001: 侵入型リストによる管理,Policy_Memory,YES,168,<!-- traceability: {Policy_Memory} --> - **決定事項**: TCBの連結には `std::list` 等を避け、TCB自体に `next` ポインタを持たせる
docs/components/core/os_scheduler.md,3,ADR-SCHED-002: アルゴリズムの継続的改善と最適化,,NO,173,
docs/components/core/os_scheduler.md,2,6. 設計判断 (ADR),Policy_Memory|COOS_Scheduling_Refine,YES,166, ### ADR-SCHED-001: 侵入型リストによる管理 <!-- traceability: {Policy_Memory} --> - **決定事項**: TCBの連結には `std::li
docs/components/core/os_scheduler.md,3,ADR-SCHED-003: BLOCKEDタスクリストの管理コストとリアルタイム性,Challenge_CoosBlockedList,YES,178,<!-- traceability: {Challenge_CoosBlockedList} --> - **決定事項**: `BLOCKED` タスクリストの管理において、起床待ちタスクを線形スキャ
docs/components/core/system_config.md,2,1. コンセプト,ConfigurableSystem|Static_Resolution,YES,3,<!-- traceability: {ConfigurableSystem} {Static_Resolution} --> Fireballハイパーバイザは、リソース制約の厳しい組み込み環境で動作
docs/components/core/system_config.md,2,2. アーキテクチャ分類,3TierSeparation|Static_Resolution,YES,7,<!-- traceability: {3TierSeparation} {Static_Resolution} --> 本コンポーネントは **Tier 3 (実装ドメイン)** に属する。静的な定
docs/components/core/system_config.md,3,3.1 データ構造,Resource_Estimation_Model,YES,13,<!-- traceability: {Resource_Estimation_Model} --> コンフィグ項目は、実行時のオーバーヘッドを排除するため、主にプリプロセッサマクロおよび C++ `
docs/components/core/system_config.md,3,3.2 内部ブロック図,Resource_Estimation_Model,YES,17,<!-- traceability: {Resource_Estimation_Model} --> ```mermaid graph TD     Config[fireball_config.hx
docs/components/core/system_config.md,3,3.3 主要な構造体・クラス・定数,,NO,29,
docs/components/core/system_config.md,2,3. 静的モデル,Resource_Estimation_Model,YES,11, ### 3.1 データ構造 <!-- traceability: {Resource_Estimation_Model} --> コンフィグ項目は、実行時のオーバーヘッドを排除するため、主にプリプロ
docs/components/core/system_config.md,3,4.1 アルゴリズム,Static_Resolution,YES,42,<!-- traceability: {Static_Resolution} --> 本コンポーネントは静的な定義のみを提供し、動的なアルゴリズムは持たない。すべての値はコンパイル時に確定する。 `{
docs/components/core/system_config.md,3,4.2 状態遷移図,Static_Resolution,YES,46,<!-- traceability: {Static_Resolution} --> 静的構成のため、状態遷移は存在しない。 
docs/components/core/system_config.md,3,4.3 内部シーケンス,,NO,50,
docs/components/core/system_config.md,2,4. 動的モデル,Static_Resolution,YES,40, ### 4.1 アルゴリズム <!-- traceability: {Static_Resolution} --> 本コンポーネントは静的な定義のみを提供し、動的なアルゴリズムは持たない。すべての値
docs/components/core/system_config.md,4,コンフィグ定数の参照,,NO,61,
docs/components/core/system_config.md,3,5.1 公開API,,NO,56,本コンポーネントは C++ ヘッダファイルとして不変な定数のみを提供する。振る舞いの契約 (Contract) としては以下の通り。  TODO(Phase 1): ATCの抽出 - マクロ間の依存関
docs/components/core/system_config.md,3,5.2 URI/IPCインターフェイス,,NO,70,
docs/components/core/system_config.md,2,5. インターフェイス定義,,NO,54, ### 5.1 公開API 本コンポーネントは C++ ヘッダファイルとして不変な定数のみを提供する。振る舞いの契約 (Contract) としては以下の通り。  TODO(Phase 1): AT
docs/components/core/system_config.md,3,6.1 性能制約と方策,Static_Resolution,YES,75,<!-- traceability: {Static_Resolution} --> - **目標**: 実行時のコンフィグ参照コストをゼロにする。 - **方策**: `{Static_Resolu
docs/components/core/system_config.md,3,6.2 メモリ制約と方策,,NO,80,
docs/components/core/system_config.md,2,6. 制約達成の方策,Static_Resolution|ConfigurableSystem|StaticScalability,YES,73, ### 6.1 性能制約と方策 <!-- traceability: {Static_Resolution} --> - **目標**: 実行時のコンフィグ参照コストをゼロにする。 - **方策**
docs/components/core/system_config.md,3,6.3 安全性制約と方策,ConfigurableSystem,YES,85,<!-- traceability: {ConfigurableSystem} --> - **目標**: 実行時の不正な設定変更を防止する。 - **方策**: `{ConfigurableSyst
docs/components/core/system_config_details.md,2,1. 概要,ConfigurableSystem,YES,3,<!-- traceability: {ConfigurableSystem} --> Fireballハイパーバイザの動作パラメータを定義するコンパイル時設定マクロの一覧である。これらのマクロは `
docs/components/core/system_config_details.md,3,2.1 メモリ管理,ConsolidatedHeap|IndependentHeap|StrictMemoryLimit,YES,11,<!-- traceability: {ConsolidatedHeap} {IndependentHeap} {StrictMemoryLimit} --> | マクロ名 | 説明 | 標準 (20
docs/components/core/system_config_details.md,3,2.2 IPCルータ,StaticScalability|RoleBasedAccessControl,YES,19,<!-- traceability: {StaticScalability} {RoleBasedAccessControl} --> | マクロ名 | 説明 | デフォルト値 (例) | 導出元 |
docs/components/core/system_config_details.md,3,2.3 HAL,ConfigurableSystem,YES,39,<!-- traceability: {ConfigurableSystem} --> | マクロ名 | 説明 | デフォルト値 (例) | 導出元 | | :--- | :--- | :--- | 
docs/components/core/system_config_details.md,3,2.4 vSoC / vMMIO,JIT_DoubleBuffer_Cache|FastAddressCheck|StrictMemoryLimit|vMMIO_Isolation|ConfigurableSystem|RestrictedPhysicalAccess,YES,47,<!-- traceability: {JIT_DoubleBuffer_Cache} {FastAddressCheck} {StrictMemoryLimit} {vMMIO_Isolation}
docs/components/core/system_config_details.md,3,2.5 ロギング,BufferedLogging,YES,71,<!-- traceability: {BufferedLogging} --> | マクロ名 | 説明 | デフォルト値 (例) | 導出元 | | :--- | :--- | :--- | :--
docs/components/core/system_config_details.md,3,2.6 デバッガ,ConfigurableSystem|Challenge_DebuggerResource|ConsolidatedHeap|IndependentHeap|StrictMemoryLimit|StaticScalability|RoleBasedAccessControl|JIT_DoubleBuffer_Cache|FastAddressCheck|vMMIO_Isolation|RestrictedPhysicalAccess|BufferedLogging,YES,77,<!-- traceability: {ConfigurableSystem} {Challenge_DebuggerResource} --> | マクロ名 | 説明 | デフォルト値 (例) | 
docs/components/core/system_config_details.md,4,task_id 型,,NO,89,
docs/components/core/system_config_details.md,2,2. マクロ一覧,ConsolidatedHeap|IndependentHeap|StrictMemoryLimit|StaticScalability|RoleBasedAccessControl|ConfigurableSystem|JIT_DoubleBuffer_Cache|FastAddressCheck|vMMIO_Isolation|RestrictedPhysicalAccess|BufferedLogging|Challenge_DebuggerResource,YES,7, TODO(Phase 1): ATC抽出 - 各コンフィグ値の有効範囲、メモリサイズ上限との整合に関する静的アサーション条件を明確に定義すること。  ### 2.1 メモリ管理 <!-- trace
docs/components/core/system_config_details.md,3,2.7 型定義・予約値,ConsolidatedHeap|IndependentHeap|StrictMemoryLimit|StaticScalability|RoleBasedAccessControl|ConfigurableSystem|JIT_DoubleBuffer_Cache|FastAddressCheck|vMMIO_Isolation|RestrictedPhysicalAccess|BufferedLogging|Challenge_DebuggerResource,YES,84,<!-- traceability: {ConsolidatedHeap} {IndependentHeap} {StrictMemoryLimit} {StaticScalability} {Rol
docs/components/core/system_config_details.md,4,最大タスク数制約,StaticScalability,YES,97,<!-- traceability: {StaticScalability} -->  | マクロ名 | 説明 | デフォルト値 (例) | 導出元 | | :--- | :--- | :--- | 
docs/components/core/system_logging.md,2,1. コンセプト,IPCRouter|DictionaryBasedIPC|BufferedLogging|IdleDetection,YES,3,<!-- traceability: {IPCRouter} {DictionaryBasedIPC} {BufferedLogging} {IdleDetection} --> ロギングコンポーネン
docs/components/core/system_logging.md,2,2. アーキテクチャ分類,3TierSeparation,YES,7,<!-- traceability: {3TierSeparation} --> 本コンポーネントは **Tier 3 (実装ドメイン)** に属する。ログの収集、バッファリング、およびバックグラウン
docs/components/core/system_logging.md,3,3.1 データ構造,,NO,13,- **`Logger`**: ログの収集、バッファリング、および物理出力への転送を一括して管理する主要クラス。 - **`logging_config`**: バッファサイズやデフォルトログレベルな
docs/components/core/system_logging.md,3,3.2 内部ブロック図,,NO,18,```mermaid graph TD     subgraph Logging_Layer         Engine[Logger Engine]         RB[Internal Rin
docs/components/core/system_logging.md,4,`Logger` クラス,,NO,36,依存関係（HALトランスポート）とバッファ状態をカプセル化する。  | 項目名 | 機能と役割 | 型分類 | サイズ・制約 | | :--- | :--- | :--- | :--- | | 出力ト
docs/components/core/system_logging.md,4,`logging_config`,,NO,46,
docs/components/core/system_logging.md,3,3.3 主要なクラス・構造体・配列・定数,,NO,34,
docs/components/core/system_logging.md,2,3. 静的モデル,ConfigurableSystem,YES,11, ### 3.1 データ構造 - **`Logger`**: ログの収集、バッファリング、および物理出力への転送を一括して管理する主要クラス。 - **`logging_config`**: バッファ
docs/components/core/system_logging.md,3,4.1 アルゴリズム,DictionaryBasedIPC|BufferedLogging,YES,57,<!-- traceability: {DictionaryBasedIPC} {BufferedLogging} --> - **辞書参照ロギング**: 送信側はメッセージ文字列ではなく、辞書内のオ
docs/components/core/system_logging.md,3,4.2 辞書構造,DictionaryBasedIPC,YES,63,<!-- traceability: {DictionaryBasedIPC} --> 辞書はROM上に固定配置され、ホスト側ツールが `dict_offset + args` から可読テキストに展開
docs/components/core/system_logging.md,3,4.3 COOS Idle Hook 連携 (Flush Protocol),IdleDetection,YES,75,<!-- traceability: {IdleDetection} --> COOSスケジューラの `set_idle_hook` で `logger.flush()` を登録する。 `{IdleD
docs/components/core/system_logging.md,3,4.4 状態遷移図,DictionaryBasedIPC|BufferedLogging|IdleDetection,YES,86,<!-- traceability: {DictionaryBasedIPC} {BufferedLogging} {IdleDetection} --> ```mermaid stateDiagra
docs/components/core/system_logging.md,4,ログ出力シーケンス,,NO,100,
docs/components/core/system_logging.md,3,4.5 内部シーケンス,,NO,98,
docs/components/core/system_logging.md,2,4. 動的モデル,DictionaryBasedIPC|BufferedLogging|IdleDetection,YES,55, ### 4.1 アルゴリズム <!-- traceability: {DictionaryBasedIPC} {BufferedLogging} --> - **辞書参照ロギング**: 送信側はメッ
docs/components/core/system_logging.md,4,ログイベント記録 (`log_event`),BufferedLogging|ZeroOverhead,YES,125, <!-- traceability: {BufferedLogging} {ZeroOverhead} -->  | 項目 | 内容 | | :--- | :--- | | 機能概要 | 発生したイ
docs/components/core/system_logging.md,4,バッファリング出力 (`flush`),,NO,137,
docs/components/core/system_logging.md,3,5.1 公開API,BufferedLogging|ZeroOverhead,YES,120,外部から利用可能なオブジェクト指向APIを定義する。  TODO(Phase 1): ATCの抽出 - ログイベント発生時のバッファ飽和による上書きや、リングバッファのポインタ一貫性（複数タスクからの
docs/components/core/system_logging.md,3,5.2 URI/IPCインターフェイス,,NO,146,
docs/components/core/system_logging.md,2,5. インターフェイス定義,BufferedLogging|ZeroOverhead|DictionaryBasedIPC,YES,118, ### 5.1 公開API 外部から利用可能なオブジェクト指向APIを定義する。  TODO(Phase 1): ATCの抽出 - ログイベント発生時のバッファ飽和による上書きや、リングバッファのポ
docs/components/core/system_logging.md,3,6.1 性能制約と方策,BufferedLogging,YES,154,<!-- traceability: {BufferedLogging} --> - **目標**: ログ出力による呼び出し側のブロッキングを最小化する。 - **方策**: `{BufferedLo
docs/components/core/system_logging.md,3,6.2 メモリ制約と方策,,NO,159,
docs/components/core/system_logging.md,2,6. 制約達成の方策,BufferedLogging|MemoryIsolation|ConfigurableSystem,YES,152, ### 6.1 性能制約と方策 <!-- traceability: {BufferedLogging} --> - **目標**: ログ出力による呼び出し側のブロッキングを最小化する。 - **方
docs/components/core/system_logging.md,3,6.3 安全性制約と方策,BufferedLogging|MemoryIsolation|ConfigurableSystem,YES,164,<!-- traceability: {BufferedLogging} {MemoryIsolation} {ConfigurableSystem} --> - **目標**: ログ出力の失敗がシス
docs/components/core/system_syscall.md,2,1. 目的,NativeAPI_Export,YES,3,<!-- traceability: {NativeAPI_Export} --> 本ドキュメントは、WebAssemblyゲスト環境からホストの提供するサービスを呼び出すための汎用システムコール `
docs/components/core/system_syscall.md,2,2. 背景,UnifiedAccessModel,YES,7,<!-- traceability: {UnifiedAccessModel} --> `fireball_call` は、vMMIO機能全体の**代理実行ラッパー**である。直接vMMIOアドレスに
docs/components/core/system_syscall.md,2,3. `fireball_call` WIT定義,WIT_Interface_Spec,YES,18,<!-- traceability: {WIT_Interface_Spec} --> `fireball_call`のWIT (WebAssembly Interface Type) 定義は以下の通
docs/components/core/system_syscall.md,3,4.1. 引数のパッキング,Trap_Interface,YES,46, <!-- traceability: {Trap_Interface} -->  TODO(Phase 1): ATC抽出 - fireball_callの各引数に渡されるポインタが、ゲストメモリの
docs/components/core/system_syscall.md,3,4.2. 戻り値,,NO,64,
docs/components/core/system_syscall.md,2,4. `fireball_call` 呼び出し規約,Trap_Interface|Syscall_Return_Value|Errorcode_To_Strategy,YES,44, ### 4.1. 引数のパッキング  <!-- traceability: {Trap_Interface} -->  TODO(Phase 1): ATC抽出 - fireball_callの各引
docs/components/core/system_syscall.md,3,5.1. カテゴリ一覧,Type_Vocabulary,YES,71, <!-- traceability: {Type_Vocabulary} -->  | カテゴリ | ID範囲 | 説明 | | :--- | :--- | :--- | | System | `0
docs/components/core/system_syscall.md,3,5.2. System (`0x00`-`0x0F`),CooperativeMultitasking,YES,84,<!-- traceability: {CooperativeMultitasking} -->  | ID | 名前 | 引数 | 戻り値 | 説明 | | :--- | :--- | :--- |
docs/components/core/system_syscall.md,3,5.3. vMMIO Generic (`0x10`-`0x1F`),RoleBasedAccessControl|RestrictedPhysicalAccess,YES,93,<!-- traceability: {RoleBasedAccessControl} {RestrictedPhysicalAccess} --> vMMIOアドレス空間全体への汎用アクセス。SYS
docs/components/core/system_syscall.md,3,5.4. VDMA (`0x20`-`0x2F`),VDMA,YES,106,<!-- traceability: {VDMA} --> 仮想DMA操作のセマンティックラッパー。内部的にvMMIO VDMAレジスタへの書き込みに変換される。  | ID | 名前 | 引数 | 
docs/components/core/system_syscall.md,3,5.5. IRQ (`0x30`-`0x3F`),CooperativeMultitasking|RoleBasedAccessControl|RestrictedPhysicalAccess|VDMA,YES,114,<!-- traceability: {CooperativeMultitasking} {RoleBasedAccessControl} {RestrictedPhysicalAccess} {VD
docs/components/core/system_syscall.md,3,5.6. IPC (`0x40`-`0x4F`),CSPCommunication|IPC_HandleBased,YES,123,<!-- traceability: {CSPCommunication} {IPC_HandleBased} --> CSPチャネル経由のプロセス間通信。  | ID | 名前 | 引数 | 戻り値
docs/components/core/system_syscall.md,3,5.7. WASI (`0x80`-`0xBF`),,NO,132,
docs/components/core/system_syscall.md,2,5. システムコールID,Type_Vocabulary|CooperativeMultitasking|RoleBasedAccessControl|RestrictedPhysicalAccess|VDMA|CSPCommunication|IPC_HandleBased|WASI_Implementation,YES,68,システムコールIDは、`fireball_call`が実行する特定の操作を識別し、vMMIOの全機能をカバーする。カテゴリ別に管理される。  ### 5.1. カテゴリ一覧  <!-- traceab
docs/components/core/system_syscall.md,3,6.1. 役割,WIT_Interface_Purpose,YES,189, <!-- traceability: {WIT_Interface_Purpose} --> ゲストのWASI互換ライブラリ（`wasi-libc`など）からの呼び出しを傍受し、`fireball_
docs/components/core/system_syscall.md,3,6.2. 高応答 Trigger のマッピング例,,NO,194,
docs/components/core/system_syscall.md,2,6. Fireball Shim (`libfireball_shim`),WIT_Interface_Purpose|Fast_Path_GPIO,YES,187, ### 6.1. 役割  <!-- traceability: {WIT_Interface_Purpose} --> ゲストのWASI互換ライブラリ（`wasi-libc`など）からの呼び出しを傍
docs/components/core/system_syscall.md,3,7.1. 役割,,NO,219,
docs/components/core/system_syscall.md,2,7. WASIホスト側実装,Challenge_WasiFdWriteLoop|WASI_Async_Bridge|Asynchronous_Notification,YES,217, ### 7.1. 役割 <!-- traceability: {Challenge_WasiFdWriteLoop} {WASI_Async_Bridge} --> `fireball_call` 
docs/components/core/system_syscall.md,4,8.1.1. 仮想割り込みID,Asynchronous_Notification,YES,241, <!-- traceability: {Asynchronous_Notification} --> これらのIDは、WASI 0.2 の `pollable` リソースをホスト側で ready 状
docs/components/core/system_syscall.md,4,8.1.2. 仮想割り込みペイロード,,NO,257,
docs/components/core/system_syscall.md,3,8.1. 仮想割り込み,,NO,237,
docs/components/core/system_syscall.md,2,8. ホストからゲストへの非同期通知メカニズム,Asynchronous_Notification,YES,232,<!-- traceability: {Asynchronous_Notification} -->  ホスト側で非同期に発生したイベント（例: ハードウェア割り込みの完了、タイマーイベント、非同期I
docs/components/core/system_syscall.md,2,9. メモリ安全性,Challenge_SyscallMemorySafety,YES,261,<!-- traceability: {Challenge_SyscallMemorySafety} --> `fireball_call`を介してゲストメモリへのポインタが渡される場合、統一vMMI
docs/components/core/system_syscall.md,2,10. トラップ状態プロトコル,Trap_Interface,YES,265, <!-- traceability: {Trap_Interface} --> `fireball_call` はWASMの**インポート関数呼び出し**として実行される。そのため、明示的な状態保存
docs/components/interface/interface_wit.md,2,1. 目的,WIT_Interface_Purpose|WIT_First|WIT_Common_Types,YES,3, <!-- traceability: {WIT_Interface_Purpose} {WIT_First} {WIT_Common_Types} --> 本ドキュメントは、Fireballプロジェ
docs/components/interface/interface_wit.md,2,2. アーキテクチャ原則,CleanArchitecture|SpecificationFirst|Risk_Tiering,YES,8, <!-- traceability: {CleanArchitecture} {SpecificationFirst} {Risk_Tiering} --> - **WASI 0.2 パターン採用*
docs/components/interface/interface_wit.md,3,3.1 基礎インターフェイス,CooperativeMultitasking|Asynchronous_Notification|RecoveryStrategy|Errorcode_To_Strategy,YES,17,<!-- traceability: {CooperativeMultitasking} {Asynchronous_Notification} --> WASI 0.2 の標準パターンに従い、以下の
docs/components/interface/interface_wit.md,4,設計判断,,NO,51,
docs/components/interface/interface_wit.md,3,3.2 リカバリー戦略とエラーハンドリング,,NO,24,
docs/components/interface/interface_wit.md,2,3. 共通データ構造,CooperativeMultitasking|Asynchronous_Notification|RecoveryStrategy|Errorcode_To_Strategy|Syscall_Mapping,YES,15, ### 3.1 基礎インターフェイス <!-- traceability: {CooperativeMultitasking} {Asynchronous_Notification} --> WAS
docs/components/interface/interface_wit.md,3,`fireball:host/trap`,Syscall_Mapping,YES,61,"<!-- traceability: {Syscall_Mapping} --> - `fireball-call(id: u32, arg0: u32, arg1: u32, arg2: u32, "
docs/components/interface/interface_wit.md,3,4.2 高応答トラインターフェイス,,NO,65,
docs/components/interface/interface_wit.md,2,4. 低レベル・トラップ・インターフェイス,Syscall_Mapping,YES,57,<!-- traceability: {Syscall_Mapping} --> WASI標準には存在しない、Fireball固有の高速システムコール。実体は `docs/components/cor
docs/components/interface/interface_wit.md,3,5.1 `fireball:host/timer` (wasi:clocks 準拠),,NO,82,`wasi:clocks/monotonic-clock` のサブセットとして定義。  ```wit resource periodic-timer {     get-now: func() -> 
docs/components/interface/interface_wit.md,3,5.3 `fireball:host/bus` (Master/Slave Bus),WASI_Implementation,YES,92,<!-- traceability: {WASI_Implementation} --> バス通信も標準WASIにはないため、リソースパターンを適用。  ```wit resource bus-mas
docs/components/interface/interface_wit.md,3,5.4 `fireball:host/streaming` (wasi:io 準拠),WASI_Implementation,YES,108,<!-- traceability: {WASI_Implementation} --> 一方的なデータ転送は標準のストリームとして扱う。  ```wit resource streaming-mas
docs/components/interface/interface_wit.md,3,5.5 WASI標準APIの実装仕様 (WASI Standard API Implementation Specification),,NO,122,
docs/components/interface/interface_wit.md,2,5. HAL インターフェイス,WASI_Implementation,YES,80, ### 5.1 `fireball:host/timer` (wasi:clocks 準拠) `wasi:clocks/monotonic-clock` のサブセットとして定義。  ```wit r
docs/components/interface/interface_wit.md,2,6. 非同期通知メカニズム,Asynchronous_Notification|WASI_Async_Bridge,YES,139, <!-- traceability: {Asynchronous_Notification} {WASI_Async_Bridge} --> WASIでは割り込みを直接扱うのではなく、`pollab
docs/components/interface/interface_wit.md,2,7. フィードバック：WASI 準拠における制約事項,,NO,146,WASI仕様と HAL の乖離および考慮点は以下の通り：  1. **GPIO/Bus の不在**: WASI (CLI/Cloud) には GPIO や I2C/SPI の標準インターフェイスがない
docs/components/interface/interface_wit.md,2,8. 命名規則 (Naming Conventions),,NO,153, WIT識別子は WASI 標準および `wasm-tools` の制約により `kebab-case` (ハイフン区切り) が必須である。プロジェクトでは以下のセマンティクス規約を適用する。  | 
docs/components/interface/interface_wit.md,3,8.1 設計上の留意点,,NO,164,- **Kebab-Case Mandatory**: WIT定義内で `snake_case` (アンダースコア) は使用禁止。 - **C++ へのマッピング**: 生成される C++ コードでは
docs/components/interface/ipc_router.md,2,1. コンセプト,IPCRouter|URIAbstraction|RoleBasedAccessControl|OwnershipTransfer|IPCDI,YES,3,<!-- traceability: {IPCRouter} {URIAbstraction} {RoleBasedAccessControl} {OwnershipTransfer} {IPCDI}
docs/components/interface/ipc_router.md,2,2. アーキテクチャ分類,3TierSeparation|IPCRouter|URIAbstraction,YES,7,<!-- traceability: {3TierSeparation} {IPCRouter} {URIAbstraction} --> 本コンポーネントは **Tier 1 (アーキテクチャドメイ
